source,target
Hem çok eleştiriliyor hemde çok seviliyor.,Hem çok eleştiriliyor hem de çok seviliyor.
Yalnız fotoğraflarda fön makinesiyle çekilmiş gibiymiş.,Yalnız fotoğraflar da fön makinesiyle çekilmiş gibiymiş.
Bu ülke de senin gibi çok insana ihtiyaç var.,Bu ülkede senin gibi çok insana ihtiyaç var.
20. yüzyılın belkide en büyük buluşu olabilir.,20. yüzyılın belki de en büyük buluşu olabilir.
Bir ip de 2 cambaz oynamaz.,Bir ipte 2 cambaz oynamaz.
Ya bu deveyi güdersin yada bu diyardan gidersin.,Ya bu deveyi güdersin ya da bu diyardan gidersin.
Her zaman kalbimiz de olacaksın.,Her zaman kalbimizde olacaksın.
Felsefe tarihin de okunacak çok eser var.,Felsefe tarihinde okunacak çok eser var.
Ey Edip Adana da pide ye.,Ey Edip Adana'da pide ye.
Bu öncekindende kötü çıktı.,Bu öncekinden de kötü çıktı.
Sende başını alıp gitme ne olur.,Sen de başını alıp gitme ne olur.
İlk bakış ta aşk yoktur.,İlk bakışta aşk yoktur.
"“Tıbbi Karar Destek Sistemlerinin Yöntemsel Olarak Değerlendirilmesi Üzerine Bir Çalışma[8]” adlı makale de değişik hastalık tanılarına ilişkin olarak geliştirilmiş tıbbi karar destek sistemlerinin, içerdiği teknikler açısından incelemesi yapılmış ve bu tekniklerin performansları değerlendirilmiştir.","“Tıbbi Karar Destek Sistemlerinin Yöntemsel Olarak Değerlendirilmesi Üzerine Bir Çalışma[8]” adlı makalede değişik hastalık tanılarına ilişkin olarak geliştirilmiş tıbbi karar destek sistemlerinin, içerdiği teknikler açısından incelemesi yapılmış ve bu tekniklerin performansları değerlendirilmiştir."
At yarışın da feci kaza kameraya yakalandı.,At yarışında feci kaza kameraya yakalandı.
Diğer menüde tatlıda vardı.,Diğer menüde tatlı da vardı.
Ağaç dibin de mantarlar çıkmış.,Ağaç dibinde mantarlar çıkmış.
İyiside var kötüsüde.,İyisi de var kötüsü de.
Bende özledim bende resmin var şu an elimde.,Ben de özledim ben de resmin var şu an elimde.
Gelirken bir kiloda şeker al.,Gelirken bir kilo da şeker al.
Onun gibi sende bir kere denesen ne olur sanki?,Onun gibi sen de bir kere denesen ne olur sanki?
