source,target
Ev de yağ kalmamış.,Evde yağ kalmamış.
Bende gelmek istiyordum.,Ben de gelmek istiyordum.
İnsanın bazen çıkıp gezmeside gerekiyor.,İnsanın bazen çıkıp gezmesi de gerekiyor.
Anahtarları piknik te kaybetmiş.,Anahtarları piknikte kaybetmiş.
Babam geldiğin de gidelim.,Babam geldiğinde gidelim.
Sadece hastalandığım da arıyorsun.,Sadece hastalandığımda arıyorsun.
Baba benide okula gönder.,Baba beni de okula gönder.
Bir şeydende eksik kalsan olmaz mı?,Bir şeyden de eksik kalsan olmaz mı?
Saatleri uyarsa bende gelebilirim.,Saatleri uyarsa ben de gelebilirim.
Irak ta gündem referandum.,Irak'ta gündem referandum.
At yarışın da feci kaza kameraya yakalandı.,At yarışında feci kaza kameraya yakalandı.
Meteoroloji de büyük değişiklik gündemde.,Meteorolojide büyük değişiklik gündemde.
Yalova da sağanak yağış bekleniyor.,Yalova'da sağanak yağış bekleniyor.
Gelecekleri varsa görecekleride var.,Gelecekleri varsa görecekleri de var.
Aramıza Ahmet te katıldı.,Aramıza Ahmet de katıldı.
Küçük işletmelerde ekonominin önemli bir parçasıdır.,Küçük işletmeler de ekonominin önemli bir parçasıdır.
Hatayı birazda kendinde aramak gerek.,Hatayı biraz da kendinde aramak gerek.
O kötü günlerim de hep yanımdaydı.,O kötü günlerimde hep yanımdaydı.
İncelemeler sırasın da gözden kaçmış sanırım.,İncelemeler sırasında gözden kaçmış sanırım.
İlk bakış ta aşk yoktur.,İlk bakışta aşk yoktur.
Yanınızda kitapta getirebilirsiniz.,Yanınızda kitap ta getirebilirsiniz.
Bura da senin paran geçmez.,Burada senin paran geçmez.
İyiyim bende çok şükür.,İyiyim ben de çok şükür.
Bende performansımla buraya layık olmaya çalışıyorum.,Ben de performansımla buraya layık olmaya çalışıyorum.
Bu adam öyle çokta kötü bir adam değil.,Bu adam öyle çok da kötü bir adam değil.
Güzel işler de yarışın.,Güzel işlerde yarışın.
Hem çok eleştiriliyor hemde çok seviliyor.,Hem çok eleştiriliyor hem de çok seviliyor.
"""Burak Yılmaz, Finlandiya maçı kadrosun da yok.""","""Burak Yılmaz, Finlandiya maçı kadrosunda yok."""
Bu küçükkende çok yaramazdı.,Bu küçükken de çok yaramazdı.
Bence daha iyide olabilirdi.,Bence daha iyi de olabilirdi.
Dahada Davos'a gelmem.,Daha da Davos'a gelmem.
Bu ülke de senin gibi çok insana ihtiyaç var.,Bu ülkede senin gibi çok insana ihtiyaç var.
Her zaman kalbimiz de olacaksın.,Her zaman kalbimizde olacaksın.
Yavaştan bende gideyim artık.,Yavaştan ben de gideyim artık.
Başkanım benide alsana yanına.,Başkanım beni de alsana yanına.
Ya ders çalış yada çık dışarda oyna.,Ya ders çalış ya da çık dışarda oyna.
Çünkü dikkat etmiyorsunda ondan oluyor.,Çünkü dikkat etmiyorsun da ondan oluyor.
Ey Edip Adana da pide ye.,Ey Edip Adana'da pide ye.
Bunlar sabaha kadarda oynasalar bu maçta gol olmaz.,Bunlar sabaha kadar da oynasalar bu maçta gol olmaz.
Kralıda gelse o kılıcı oradan çıkaramaz.,Kralı da gelse o kılıcı oradan çıkaramaz.
Bir tenha da can cananı bulunca.,Bir tenhada can cananı bulunca.
Diplomasi de yanlış çeviri krizi nasıl ortaya çıktı?,Diplomaside yanlış çeviri krizi nasıl ortaya çıktı?
